ID Action,Axe,Objectif stratégique,Action originale,Action originale EN,Chantier suggéré,Confiance,Raison,Action réécrite,Action réécrite EN,Statut analyse,Projet,Nom projet,Description projet,Description projet EN,Notes analyse,Coordination,Destination,Approuvé,Statut objectif
A3-OS3-a,Axe 3 : Interventions numériques,Accélérer la collaboration entre chercheurs et développeurs d'interventions numériques pour favoriser l'adéquation aux besoins des parties prenantes,"Lancer une consultation pour identifier les enjeux et opportunités actuels autour des développements technologiques (DME, DSN, etc.) pour proposer des interventions","Launch a consultation to identify current issues and opportunities around technology developments (EMR, DSN, etc.) to propose interventions",Écoute et Consultation,CLAIR,Consultation = écoute des besoins,,,keep,É1,Consultations des besoins par public cible,"Consultations, ateliers et enquêtes pour identifier les besoins et attentes de groupes spécifiques du RSN.","Consultations, workshops and surveys to identify the needs and expectations of specific RSN groups.",,,,oui,non démarré
A3-OS3-b,Axe 3 : Interventions numériques,Accélérer la collaboration entre chercheurs et développeurs d'interventions numériques pour favoriser l'adéquation aux besoins des parties prenantes,Organiser des événements en partenariat avec l'industrie sur le sujet de la santé numérique,Organize events in partnership with industry on digital health topics,Événements & Rayonnement,CLAIR,Événements avec industrie = rayonnement,,,,Év2,Participations et interventions externes,"Présence du RSN dans des événements organisés par d'autres : congrès, partenaires, industrie.","RSN presence at events hosted by others: conferences, partners, industry.",,,,oui,non démarré
A4-OS1-a,Axe 4 : Transformation numérique,Aviser les organisations à une gestion efficace du numérique et de ses tensions,"Cartographier les initiatives, formations et projets existants dans l'écosystème au Québec et en-dehors","Map existing initiatives, training programs and projects in the ecosystem in Québec and beyond",Répertoires & Cartographie,CLAIR,Cartographie = répertoire,,,,R2,Inventaire des formations en santé numérique,"Inventaire structuré des programmes de formation existants en santé numérique, avec analyse du paysage et des lacunes.","Structured inventory of existing training programs in digital health, with landscape and gap analysis.",,CA-FORM-OS3-a;CA-FORM-OS3-c;CA-FORM-OS3-d,,oui,en cours
A4-OS1-b,Axe 4 : Transformation numérique,Aviser les organisations à une gestion efficace du numérique et de ses tensions,Former la communauté de recherche à la vulgarisation des connaissances scientifiques,Train the research community in scientific knowledge translation,Formation & Relève,CLAIR,Former la communauté = formation,,,keep,F1,Formations et ressources éducatives,"Capsules, webinaires, guides pratiques et ressources en ligne créées par le RSN.","Modules, webinars, practical guides and online resources created by the RSN.",,,,oui,non démarré
A4-OS1-c,Axe 4 : Transformation numérique,Aviser les organisations à une gestion efficace du numérique et de ses tensions,Organiser des ateliers de travail et de consultation pour prendre connaissance des priorités et des besoins,Run workshops and consultations to learn about priorities and needs,Écoute et Consultation,CLAIR,Ateliers de consultation = écoute,,,keep,É1,Consultations des besoins par public cible,"Consultations, ateliers et enquêtes pour identifier les besoins et attentes de groupes spécifiques du RSN.","Consultations, workshops and surveys to identify the needs and expectations of specific RSN groups.",,,,oui,non démarré
A4-OS2-a,Axe 4 : Transformation numérique,Alimenter la réflexion autour des politiques publiques pour favoriser une transformation numérique basée sur des évidences scientifiques,Mobiliser les experts de l'axe aux compétences diverses et complémentaires,Mobilize axis experts with diverse and complementary skills,Maillage et Concertation,FAIBLE,'Mobiliser les experts' est très flou - pour faire quoi?,,,rewrite,M1,Tables de concertation thématiques,Espaces de discussion inter-groupes au sein du RSN autour de thèmes spécifiques.,Cross-group discussion spaces within the RSN around specific themes.,À CLARIFIER: Quel est le livrable attendu?,,,oui,non démarré
A4-OS2-b,Axe 4 : Transformation numérique,Alimenter la réflexion autour des politiques publiques pour favoriser une transformation numérique basée sur des évidences scientifiques,Mettre en place une table de concertation sur la gouvernance et le changement organisationnel,Set up a consultation table on governance and organizational change,Maillage et Concertation,CLAIR,Table de concertation = maillage,,,keep,M1,Tables de concertation thématiques,Espaces de discussion inter-groupes au sein du RSN autour de thèmes spécifiques.,Cross-group discussion spaces within the RSN around specific themes.,,,,oui,non démarré
A4-OS2-c,Axe 4 : Transformation numérique,Alimenter la réflexion autour des politiques publiques pour favoriser une transformation numérique basée sur des évidences scientifiques,Éclairer la décision publique en lien avec la mise en oeuvre des interventions numériques (telles que le DSN),Inform public decision-making related to the implementation of digital interventions (such as the DSN),Influence & Représentation,CLAIR,Éclairer la décision publique = influence,,,keep,I2,Représentation dans les instances,Présence active du RSN dans les comités et projets gouvernementaux pour influencer les décisions.,Active RSN presence in government committees and projects to influence decisions.,,,,oui,non démarré
A4-OS3-a,Axe 4 : Transformation numérique,"Outiller les chercheurs, gestionnaires et patients pour comprendre les nouveaux cadres en lien avec le numérique en santé",Prendre contact avec des experts en vulgarisation juridique (i.e. Educaloi),Reach out to experts in legal plain-language outreach (e.g. Educaloi),Maillage et Concertation,CLAIR,Prendre contact avec experts = maillage,,,keep,M4,Partenariats externes et maillage inter-sectoriel,"Liens avec des organisations, experts et milieux preneurs hors RSN.","Links with organizations, experts and end-user settings outside the RSN.",,,,oui,en cours
A4-OS3-b,Axe 4 : Transformation numérique,"Outiller les chercheurs, gestionnaires et patients pour comprendre les nouveaux cadres en lien avec le numérique en santé",Réunir les formations et ressources sur les lois 5 et 25,Gather training and resources on Bills 5 and 25,Répertoires & Cartographie,CLAIR,Réunir les formations et ressources = répertoire,,,,R2,Inventaire des formations en santé numérique,"Inventaire structuré des programmes de formation existants en santé numérique, avec analyse du paysage et des lacunes.","Structured inventory of existing training programs in digital health, with landscape and gap analysis.",,,,oui,en cours
A4-OS3-c,Axe 4 : Transformation numérique,"Outiller les chercheurs, gestionnaires et patients pour comprendre les nouveaux cadres en lien avec le numérique en santé","Produire des formations et ressources pertinentes pour des premiers publics cibles (par ex. Chercheurs, Membres RSN, etc)","Produce training and resources relevant to initial target audiences (e.g. researchers, RSN members, etc.)",Formation & Relève,CLAIR,Formations et ressources = formation,,,keep,F1,Formations et ressources éducatives,"Capsules, webinaires, guides pratiques et ressources en ligne créées par le RSN.","Modules, webinars, practical guides and online resources created by the RSN.",,,,oui,en cours
A4-OS4-a,Axe 4 : Transformation numérique,"Mesurer et suivre l'adoption du numérique en santé par les patients, les citoyens et les prestataires",Développer un baromètre numérique en collaboration avec le CSBE pour décrire l'adoption du numérique en santé à partir de données d'enquêtes disponibles,Develop a digital barometer in collaboration with the CSBE to describe digital adoption in health based on available survey data,Guides & Outils,CLAIR,Baromètre = outil de mesure de l'adoption,,,keep,G6,Outils de mesure et de maturité de la transformation numérique,"Produire et rendre accessibles des instruments de mesure et d'évaluation de la transformation numérique en santé : baromètre populationnel (CSBE), outils d'évaluation des compétences numériques, outils de maturité numérique organisationnelle.","Produce and make accessible measurement and evaluation instruments for digital transformation in health: population barometer (CSBE), digital literacy assessment tools, organizational digital-maturity tools.",Sous-projet renommé pour anticiper les actions moyen terme A4-OS1 (outils d'évaluation des compétences et de maturité numérique organisationnelle) qui rejoindront naturellement ce livrable.,,,oui,en cours
CA-FORM-OS1-a,Champ d'action : Formation interdisciplinaire,Promouvoir le développement d'une formation interdisciplinaire en santé numérique,"Soutien aux événements de formation (Digital Health, McGill Workshop, Math for Health et autres avec des organisations telles que l'IVADO)","Support training events (Digital Health, McGill Workshop, Math for Health and others with organizations like IVADO)",Formation & Relève,CLAIR,"Soutien à des événements de formation nommés (Digital Health, McGill Workshop, Math for Health, IVADO) = ressources éducatives",,,keep,F1,Formations et ressources éducatives,"Développement de formations, ateliers et ressources pédagogiques en santé numérique.","Development of training programs, workshops and educational resources in digital health.","Action restaurée à sa formulation originale : la réécriture précédente avait effacé les noms d'événements et de partenaires (Digital Health, McGill Workshop, Math for Health, IVADO) qui ancraient l'action.",,,oui,en cours
CA-FORM-OS1-b,Champ d'action : Formation interdisciplinaire,Promouvoir le développement d'une formation interdisciplinaire en santé numérique,Mettre en place un formulaire web RSN permettant aux membres de soumettre les short courses et workshops à venir (vue dynamique des formations),Set up an RSN web form allowing members to submit upcoming short courses and workshops (dynamic view of training),Répertoires & Cartographie,CLAIR,Outil web prospectif qui complète l'inventaire statique R2 — annoncé par CA-FORM (Celia Greenwood) comme déjà en cours de mise en œuvre.,,,keep,R2,Inventaire des formations en santé numérique,"Inventaire structuré des programmes de formation existants en santé numérique, avec analyse du paysage et des lacunes.","Structured inventory of existing training programs in digital health, with landscape and gap analysis.",Action ajoutée suite au retour de Celia Greenwood (CA-FORM) — complément dynamique de l'inventaire statique R2.,,,oui,en cours
CA-FORM-OS2-a,Champ d'action : Formation interdisciplinaire,Soutenir la formation de la prochaine génération par l'acquisition de connaissances et la pratique,"Mise en place d'une consultation sur les besoins des étudiants (comité, enquête, événements)","Set up a consultation on student needs (committee, survey, events)",Écoute et Consultation,CLAIR,Consultation sur les besoins = écoute,,,keep,É1,Consultations des besoins par public cible,"Consultations, ateliers et enquêtes pour identifier les besoins et attentes de groupes spécifiques du RSN.","Consultations, workshops and surveys to identify the needs and expectations of specific RSN groups.",,,,oui,en cours
CA-FORM-OS2-b,Champ d'action : Formation interdisciplinaire,Soutenir la formation de la prochaine génération par l'acquisition de connaissances et la pratique,Soutien aux manifestations étudiantes sur la santé numérique,Support student events on digital health,Événements & Rayonnement,CLAIR,Soutien à des manifestations étudiantes thématisées santé numérique,,,keep,Év1,Événements organisés par le RSN,"Colloques, journées thématiques, ateliers et événements produits ou co-produits par le réseau.","Colloquia, thematic days, workshops and events produced or co-produced by the network.",Action restaurée à sa formulation originale : la réécriture précédente avait perdu la thématisation « santé numérique » qui est centrale.,,,oui,en cours
CA-FORM-OS3-a,Champ d'action : Formation interdisciplinaire,Faciliter l'accès des chercheurs aux formations existantes,Inventaire des programmes de formation existants et catégorisation,Inventory and categorize existing training programs,Répertoires & Cartographie,CLAIR,Inventaire = répertoire,,,keep,R2,Inventaire des formations en santé numérique,"Inventaire structuré des programmes de formation existants en santé numérique, avec analyse du paysage et des lacunes.","Structured inventory of existing training programs in digital health, with landscape and gap analysis.","Travail mené en coordination avec A4-OS1-a (Aude Motulsky, Axe 4) — cartographie en cours. Fusion potentielle avec OS3-c (analyse du paysage) et OS3-d (analyse des lacunes) à proposer à l'équipe : les 3 actions forment un enchaînement méthodologique cohérent (inventaire → paysage → lacunes) qui produit un seul livrable « État des lieux et lacunes de la formation en santé numérique ».",A4-OS1-a,,oui,en cours
CA-FORM-OS3-b,Champ d'action : Formation interdisciplinaire,Faciliter l'accès des chercheurs aux formations existantes,"Mettre en place une consultation sur les besoins des chercheurs (comité, enquête, événements)","Set up a consultation on researcher needs (committee, survey, events)",Écoute et Consultation,CLAIR,Consultation = écoute,,,keep,É1,Consultations des besoins par public cible,"Consultations, ateliers et enquêtes pour identifier les besoins et attentes de groupes spécifiques du RSN.","Consultations, workshops and surveys to identify the needs and expectations of specific RSN groups.",,,,oui,en cours
CA-FORM-OS3-c,Champ d'action : Formation interdisciplinaire,Faciliter l'accès des chercheurs aux formations existantes,Effectuer une analyse du paysage de la formation,Conduct a landscape analysis of training,Répertoires & Cartographie,CLAIR,Analyse du paysage = cartographie,,,keep,R2,Inventaire des formations en santé numérique,"Inventaire structuré des programmes de formation existants en santé numérique, avec analyse du paysage et des lacunes.","Structured inventory of existing training programs in digital health, with landscape and gap analysis.","Travail mené en coordination avec A4-OS1-a (Aude Motulsky, Axe 4) — cartographie en cours. Fusion potentielle avec OS3-a (inventaire) et OS3-d (analyse des lacunes) — voir note sur OS3-a.",A4-OS1-a,,oui,en cours
CA-FORM-OS3-d,Champ d'action : Formation interdisciplinaire,Faciliter l'accès des chercheurs aux formations existantes,Effectuer une analyse des lacunes,Conduct a gap analysis,Répertoires & Cartographie,CLAIR,Analyse des lacunes du paysage de formation = analyse de l'inventaire,,,keep,R2,Inventaire des formations en santé numérique,"Inventaire structuré des programmes de formation existants en santé numérique, avec analyse du paysage et des lacunes.","Structured inventory of existing training programs in digital health, with landscape and gap analysis.","Travail mené en coordination avec A4-OS1-a (Aude Motulsky, Axe 4) — cartographie en cours. Action restaurée à sa formulation originale et déplacée de C5-1 vers R2 : l'analyse des lacunes est l'analyse de l'inventaire (OS3-a) et du paysage de formation (OS3-c), pas une consultation. Les 3 actions OS3-a/c/d forment une trilogie cohérente dans R2.",A4-OS1-a,,oui,en cours
CA-MOB-OS1-a,Champ d'action : Mobilisation des connaissances,Soutenir et faciliter l'échange intersectoriel de connaissances et promouvoir les collaborations,Établir des réunions interdisciplinaires régulières,Establish regular interdisciplinary meetings,Maillage et Concertation,CLAIR,Réunions interdisciplinaires = maillage,,,keep,M3,Communautés de pratique et réseaux collaboratifs,Maillage entre chercheurs et apprentissage entre pairs via des communautés de pratique.,Networking between researchers and peer learning through communities of practice.,,,,oui,non démarré
CA-MOB-OS1-b,Champ d'action : Mobilisation des connaissances,Soutenir et faciliter l'échange intersectoriel de connaissances et promouvoir les collaborations,Identifier les expertises des différents membres et les présenter sur le site du RSN,Identify members' expertise and showcase it on the RSN website,Répertoires & Cartographie,CLAIR,Identifier expertises = répertoire,,,,R1,"Répertoire des expertises, actifs et infrastructures RSN","Bottin unifié des personnes, expertises, plateformes, actifs numériques et infrastructures du RSN, avec vue géographique.","Unified directory of people, expertise, platforms, digital assets and RSN infrastructure, with a geographic view.",,,,oui,en cours
CA-MOB-OS1-c,Champ d'action : Mobilisation des connaissances,Soutenir et faciliter l'échange intersectoriel de connaissances et promouvoir les collaborations,Identifier les communautés existantes et identifier les gaps,Identify existing communities and identify gaps,Répertoires & Cartographie,CLAIR,Identifier communautés = cartographie,,,keep,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique de recherche en santé numérique.","Inventory of existing tools, methods and resources by research theme in digital health.",Cartographier les communautés de pratique existantes — livrable = cartographie des CdP.,,,oui,non démarré
CA-MOB-OS1-d,Champ d'action : Mobilisation des connaissances,Soutenir et faciliter l'échange intersectoriel de connaissances et promouvoir les collaborations,Préciser le public et l'objectif précis en matière de mobilisation des connaissances,Define the audience and specific objective for knowledge mobilization,Guides & Outils,CLAIR,Cadrage stratégique RSN de la mobilisation = cadre méthodologique,"Définir le cadre RSN de mobilisation des connaissances : public cible, objectifs spécifiques, modalités opérationnelles",Define the audience and specific objective for knowledge mobilization,rewrite,G1,Harmonisation des bonnes pratiques méthodologiques,"Produire un cadre commun de bonnes pratiques pour la communauté de recherche, accessible en français.","Produce a common framework of best practices for the research community, accessible in French.",Reformulée en cadre opérationnel et déplacée de C5-1 vers G1 : action fondationnelle qui définit le QUI et le QUOI de la mobilisation des connaissances au RSN. Cohérent avec PD-ENG-OS3-a (modalités d'engagement) déjà dans G1.,,,oui,non démarré
CA-MOB-OS2-a,Champ d'action : Mobilisation des connaissances,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Élaborer des résumés conviviaux des connaissances et articles,Develop accessible summaries of research findings and articles,Événements & Rayonnement,CLAIR,Résumés conviviaux = contenus de diffusion,,,keep,Év3,Communications et contenus de diffusion,"Production de contenus (bulletins, balados, réseaux sociaux) pour le rayonnement du réseau.","Content production (newsletters, podcasts, social media) for network outreach.","Fusion potentielle intra-OS2 avec OS2-b à proposer dans le mail : « Identifier les besoins des utilisateurs de la recherche (chercheurs, milieux preneurs) et élaborer les résumés conviviaux qui y répondent » (cycle besoins → livrables).",,,oui,non démarré
