ID Action,Axe,Objectif stratégique,Action originale,Chantier suggéré,Confiance,Raison,Action réécrite
CA-RENF-OS3-a,Champ d'action : Renforcement des capacités,Outiller les chercheur(e)s pour mesurer adéquatement l'impact de leurs activités en termes de capacité,Mettre en place un comité de suivi chargé d'évaluer les progrès réalisés et de suivre les impacts des initiatives entreprises,Concertation & Maillage,MOYEN,Comité de suivi = structure interne,Mettre en place un comité de suivi d'impact
CA-RENF-OS3-b,Champ d'action : Renforcement des capacités,Outiller les chercheur(e)s pour mesurer adéquatement l'impact de leurs activités en termes de capacité,"Revoir les critères et cadres existants, et définir ce qu'il est nécessaire de suivre et comment le faire",Guides & Outils,MOYEN,Définir critères = guide,Produire un guide des critères de suivi
PD-ENG-OS1-a,Principe directeur : Engagement citoyen,Promouvoir le dialogue et l'engagement de la patientèle et du public autour des interventions en santé numérique,"Travailler en partenariat avec des organisations et communautés clés (CEPPP, Communauté expérience, Communauté expérience et partenariat des soins et de services) comme leviers pour les actions du principe fondateur et de ses membres (du co-développement à la communication)",Concertation & Maillage,CLAIR,Partenariat avec organisations = maillage,
PD-ENG-OS1-b,Principe directeur : Engagement citoyen,Promouvoir le dialogue et l'engagement de la patientèle et du public autour des interventions en santé numérique,Recenser et analyser les attentes et les besoins de la patientèle et du public en santé numérique au travers de différents types de consultation et d'implication,Consultation & Écoute,CLAIR,Recenser besoins = consultation,
PD-ENG-OS2-a,Principe directeur : Engagement citoyen,Favoriser la co-construction de projets en santé numérique avec la patientèle et le public,"Favoriser l'intégration des concepts et méthodes de co-construction et de partenariat dans les interventions numériques provinciales en cours de réalisation, telles que le Dossier santé numérique (et son volet portail patient My Chart)",Influence & Représentation,MOYEN,"Favoriser intégration = influence, mais flou",Promouvoir l'intégration dans le DSN et MyChart
PD-ENG-OS2-b,Principe directeur : Engagement citoyen,Favoriser la co-construction de projets en santé numérique avec la patientèle et le public,Former un comité patientèle et public au sein du RSN qui se fixerait des objectifs à court terme (ex. intégrer un axe Santé numérique dans le Programme national de santé publique pour une santé plus connectée inclusive et innovante),Concertation & Maillage,CLAIR,Former un comité = concertation,
PD-ENG-OS3-a,Principe directeur : Engagement citoyen,Favoriser l'accessibilité de la patientèle et du public aux connaissances et interventions en santé numérique,"Définir les modalités d'engagement et de partage des connaissances (symposium, journée scientifique, feuille de route, etc.) pour le développement des interventions en santé numérique",Guides & Outils,MOYEN,"Définir modalités = guide, mais flou",Produire un guide des modalités d'engagement
PD-ENG-OS3-b,Principe directeur : Engagement citoyen,Favoriser l'accessibilité de la patientèle et du public aux connaissances et interventions en santé numérique,Développer ou promouvoir des balados et webinaires pour partager les résultats scientifiques et les bénéfices du partenariat en s'appuyant sur la vision et contribution de la patientèle et du public,Événements & Rayonnement,CLAIR,Balados et webinaires = événements,
PD-ENG-OS3-c,Principe directeur : Engagement citoyen,Favoriser l'accessibilité de la patientèle et du public aux connaissances et interventions en santé numérique,Soutenir la communauté de recherche dans l'organisation de conférences accessibles à la patientèle et au public pour favoriser le dialogue et l'engagement,Événements & Rayonnement,MOYEN,'Soutenir l'organisation' est flou,Organiser des conférences accessibles au public
PD-ENG-OS3-d,Principe directeur : Engagement citoyen,Favoriser l'accessibilité de la patientèle et du public aux connaissances et interventions en santé numérique,"Considérer pour ces actions les spécificités du Québec, ce qui s'applique et ce qui ne s'applique pas",Consultation & Écoute,FAIBLE,'Considérer' n'est pas une action,À CLARIFIER: Quel livrable sur les spécificités QC?
PD-CONF-OS1-a,Principe directeur : Numérique de confiance,Intégrer une vision partagée du numérique de confiance dans les axes et les actions du RSN,Organiser des rencontres transversales avec les axes et les principes du RSN pour définir une définition partagée du numérique de confiance,Concertation & Maillage,CLAIR,Rencontres transversales = concertation,
PD-CONF-OS1-b,Principe directeur : Numérique de confiance,Intégrer une vision partagée du numérique de confiance dans les axes et les actions du RSN,Identifier les attentes spécifiques par axe ou champ d'action lors de rencontres bilatérales,Consultation & Écoute,CLAIR,Identifier attentes = consultation,
PD-CONF-OS1-c,Principe directeur : Numérique de confiance,Intégrer une vision partagée du numérique de confiance dans les axes et les actions du RSN,Produire une première ébauche de la définition sous forme de fiche ou infographie à valider collectivement,Guides & Outils,CLAIR,Fiche ou infographie = guide,
PD-CONF-OS2-a,Principe directeur : Numérique de confiance,Renforcer la compréhension des perspectives citoyennes et usagères dans la conception des projets,"Cartographier les acteurs concernés (patients partenaires, CEPPP, groupes citoyens, FRQ)",Répertoires & Cartographie,CLAIR,Cartographier acteurs = répertoire,
PD-CONF-OS2-b,Principe directeur : Numérique de confiance,Renforcer la compréhension des perspectives citoyennes et usagères dans la conception des projets,Organiser des groupes de discussion citoyens pour coconstruire des critères de confiance,Consultation & Écoute,CLAIR,Groupes de discussion = consultation,
PD-CONF-OS2-c,Principe directeur : Numérique de confiance,Renforcer la compréhension des perspectives citoyennes et usagères dans la conception des projets,Mobiliser les comités de patients partenaires avant de lancer une consultation citoyenne plus large,Consultation & Écoute,CLAIR,Mobiliser comités patients = consultation,
PD-CONF-OS3-a,Principe directeur : Numérique de confiance,"Favoriser des normes et pratiques partagées autour de la transparence, la sécurité, l'éthique, l'éco-responsabilité et la réciprocité","Développer une feuille de route de critères de confiance à appliquer dans les projets (sécurité, éthique, validité, UX)",Guides & Outils,CLAIR,Feuille de route = guide,
PD-CONF-OS3-b,Principe directeur : Numérique de confiance,"Favoriser des normes et pratiques partagées autour de la transparence, la sécurité, l'éthique, l'éco-responsabilité et la réciprocité",Déployer cette feuille de route dans différents projets pilotes issus des axes du RSN,Concertation & Maillage,MOYEN,Déployer dans projets = accompagnement,Accompagner des projets pilotes
PD-CONF-OS3-c,Principe directeur : Numérique de confiance,"Favoriser des normes et pratiques partagées autour de la transparence, la sécurité, l'éthique, l'éco-responsabilité et la réciprocité","Faire connaître ces outils aux parties prenantes concernées : chercheurs, porteurs de projets, comités d'éthique",Événements & Rayonnement,MOYEN,Faire connaître = diffusion,Organiser des sessions de présentation
PD-DUR-OS1-a,Principe directeur : Santé durable,Former et sensibiliser les membres du réseau et les parties prenantes sur la santé numérique durable,Effectuer une revue de la littérature nationale et internationale pour investiguer les concepts et les interventions à l'intersection de la santé durable et de la santé numérique,Répertoires & Cartographie,CLAIR,Revue de littérature = répertoire,
PD-DUR-OS1-b,Principe directeur : Santé durable,Former et sensibiliser les membres du réseau et les parties prenantes sur la santé numérique durable,Proposer une définition commune de la santé durable dans un contexte de santé numérique pour le RSN (lexique commun ou une cartographie des concepts clés),Guides & Outils,CLAIR,Définition/lexique = guide,
PD-DUR-OS1-c,Principe directeur : Santé durable,Former et sensibiliser les membres du réseau et les parties prenantes sur la santé numérique durable,Organiser une réflexion stratégique sur les données et la santé durable en communication avec les autres acteurs du RSN : quelles données et quelles interventions prioriser au service de la santé durable ?,Concertation & Maillage,CLAIR,Réflexion stratégique = concertation,
PD-DUR-OS2-a,Principe directeur : Santé durable,Structurer les partenariats et identifier les ressources pour soutenir les projets porteurs en santé durable,"Identifier et cartographier les partenariats potentiels (ex. milieux ruraux, communautaires, autochtones, municipalités) et définir des rôles potentiels de chacun",Répertoires & Cartographie,CLAIR,Cartographier partenariats = répertoire,
PD-DUR-OS2-b,Principe directeur : Santé durable,Structurer les partenariats et identifier les ressources pour soutenir les projets porteurs en santé durable,Solliciter (afin d'identifier) les citoyens et citoyennes prêts à contribuer à travers différents types de données pour développer des projets et des outils,Consultation & Écoute,CLAIR,Solliciter citoyens = consultation,
PD-DUR-OS2-c,Principe directeur : Santé durable,Structurer les partenariats et identifier les ressources pour soutenir les projets porteurs en santé durable,Commencer à identifier des projets dans les autres axes du RSN à fort impact en santé durable à soutenir,Répertoires & Cartographie,MOYEN,Identifier projets = inventaire,Créer un inventaire des projets à fort impact
PD-DUR-OS2-d,Principe directeur : Santé durable,Structurer les partenariats et identifier les ressources pour soutenir les projets porteurs en santé durable,Identifier les chercheurs-euses ayant une expertise en santé géographique et en géomatique à impliquer au principe fondateur pour accroître la capacité du RSN à soutenir les projets en lien avec des municipalités,Répertoires & Cartographie,CLAIR,Identifier chercheurs = répertoire,
PD-DUR-OS3-a,Principe directeur : Santé durable,Formuler des recommandations pour assurer la santé numérique durable au Québec,"Élaborer un énoncé politique ou manifeste de l'axe santé durable en collaboration avec l'axe 1 et visant l'intégration des données plurielles et l'accès pour la recherche (en lien avec auto-gestion, prévention, promotion de la santé)",Influence & Représentation,CLAIR,Énoncé politique = influence,
PD-DUR-OS3-b,Principe directeur : Santé durable,Formuler des recommandations pour assurer la santé numérique durable au Québec,Organiser un atelier de réflexion autour de l'IA et son impact en matière de durabilité,Événements & Rayonnement,CLAIR,Atelier de réflexion = événement,
PD-SCI-OS1-a,Principe directeur : Science ouverte,Favoriser la mise en place d'un référentiel commun et accessible pour la science ouverte,"Élaborer un sondage auprès des membres du Réseau pour identifier leurs pratiques de partage des données et connaissances, ainsi que leurs besoins",Consultation & Écoute,CLAIR,Sondage = consultation,
PD-SCI-OS1-b,Principe directeur : Science ouverte,Favoriser la mise en place d'un référentiel commun et accessible pour la science ouverte,"Réaliser une veille des initiatives existantes internationales et nationales, à la fois les énoncés de principes (UNESCO, NASA Open Science, Tri-Council,…) et les outils (Zenodo, Software Heritage, etc.) en science ouverte",Répertoires & Cartographie,CLAIR,Veille des initiatives = répertoire,
PD-SCI-OS1-c,Principe directeur : Science ouverte,Favoriser la mise en place d'un référentiel commun et accessible pour la science ouverte,Regarder les initiatives au Québec en particulier (spécificités de ces pratiques dans le cadre juridique et éthique et enseignements tirés),Répertoires & Cartographie,CLAIR,Initiatives QC = répertoire,
PD-SCI-OS2-a,Principe directeur : Science ouverte,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Créer un espace GitHub RSN avec un modèle de gouvernance et le diffuser dans la communauté,Guides & Outils,CLAIR,Espace GitHub = outil,
PD-SCI-OS2-b,Principe directeur : Science ouverte,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,"Partager des packages R et Python, par exemple, avec la communauté",Guides & Outils,CLAIR,Packages R/Python = outils,
PD-SCI-OS2-c,Principe directeur : Science ouverte,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Proposer des formations pratiques sur des outils comme le rmarkdown et quarto pour la documentation des données,Formation & Relève,CLAIR,Formations pratiques = formation,
PD-SCI-OS3-a,Principe directeur : Science ouverte,Promouvoir une culture de la science ouverte au sein du réseau et à l'externe,"Développer des connaissances accessibles pour les chercheurs et chercheuses sur ce qu'est la science ouverte et comment s'y prendre concrètement (capsules, guides)",Guides & Outils,CLAIR,Capsules et guides = guides,
PD-SCI-OS3-b,Principe directeur : Science ouverte,Promouvoir une culture de la science ouverte au sein du réseau et à l'externe,"Organiser un événement annuel « Journée science ouverte » au RSN (partage d'expériences, démos)",Événements & Rayonnement,CLAIR,Journée annuelle = événement,
PD-EDIA-OS1-a,Principe directeur : EDIA,Favoriser une culture inclusive et respectueuse,Élaborer un formulaire d'auto-identification pour le RSN,Guides & Outils,CLAIR,Formulaire = outil,
PD-EDIA-OS1-b,Principe directeur : EDIA,Favoriser une culture inclusive et respectueuse,Établir une définition commune de l'EDIA pour le RSN,Guides & Outils,CLAIR,Définition commune = guide,
PD-EDIA-OS1-c,Principe directeur : EDIA,Favoriser une culture inclusive et respectueuse,"Mettre en évidence les bénéfices concrets de l'EDIA (p. ex. dans l'enseignement, les pratiques de gouvernance, l'accueil des populations vulnérables)",Guides & Outils,MOYEN,Mettre en évidence = flou sur format,Produire un document sur les bénéfices de l'EDIA
PD-EDIA-OS1-d,Principe directeur : EDIA,Favoriser une culture inclusive et respectueuse,"Recenser les outils et ressources disponibles (notamment via les centres SSA, CEPPP, etc.)",Répertoires & Cartographie,CLAIR,Recenser outils = répertoire,
PD-EDIA-OS2-a,Principe directeur : EDIA,Assurer l'équité dans le processus de dotation des organisations,Sensibiliser les membres du réseau à l'importance d'un recrutement et d'une formation équitables,Événements & Rayonnement,MOYEN,Sensibiliser = événement ou guide,Organiser des sessions de sensibilisation
PD-EDIA-OS2-b,Principe directeur : EDIA,Assurer l'équité dans le processus de dotation des organisations,Développer ou adapter un outil d'évaluation EDIA des processus organisationnels (avec une dimension recrutement),Guides & Outils,CLAIR,Outil d'évaluation = guide,
PD-EDIA-OS2-c,Principe directeur : EDIA,Assurer l'équité dans le processus de dotation des organisations,"Inclure des critères EDIA dans les procédures d'évaluation existantes, notamment en ce qui concerne les rapports de performance des axes",Influence & Représentation,MOYEN,Inclure critères = influence interne,Intégrer des critères EDIA dans les procédures
PD-EDIA-OS3-a,Principe directeur : EDIA,Encourager la diversité des approches de recherche et de méthodologies,Mettre en évidence les bénéfices de l'intégration de l'EDIA dans la recherche (démonstration par l'exemple),Guides & Outils,MOYEN,Démonstration = études de cas,Produire des études de cas EDIA
PD-EDIA-OS3-b,Principe directeur : EDIA,Encourager la diversité des approches de recherche et de méthodologies,Prévoir l'observation et l'évaluation à court terme de l'EDIA dès la conception des projets,Guides & Outils,MOYEN,Prévoir observation = cadre,Développer un cadre d'évaluation EDIA
